"us dry";"us dry"
"uk dry";"uk dry"
"uk petroleum";"uk petroleum"
"uk fluid";"uk fluid"
"us fluid";"us fluid"
"uk liquid";"uk liquid"
"us liquid";"us liquid"
"uk shipping";"uk shipping"
"us shipping";"us shipping"
"us survey";"us survey"
"british";"uk"
"uk";"uk"
"us";"us"
"imperial";"uk"
"troy";"troy"
"international table";"international table"
"international table it";"international table"
"international";"international"
"metric";"metric"
"avoirdupois";"avoirdupois"
"apothecaries";"apothecaries"
"tex";"tex"
"ata";"ata"
"postscript";"postscript"
"unit of angle";"plane angle"
"plane angle";"plane angle"
"unit of time";"time"
"french";"french"
"thermochemical";"thermochemical"
"at 15 °C";"15 °C"
"15 °C";"15 °C"
"at 20 °C";"20 °C"
"20 °C";"20 °C"
"at 39 °F";"39 °F"
"39 °F";"39 °F"
"at 59 °F";"59 °F"
"59 °F";"59 °F"
"at 60 °F";"60 °F"
"60 °F";"60 °F"
"mean";"mean"
